Round Rock,Texas,147,1.58,
Meridian,Idaho,148,0.81,
Sterling Heights,Michigan,149,0.88,
Broken Arrow,Oklahoma,150,1.48,
Sandy Springs,Georgia,151,1.32,
Plano,Texas,152,3.18,
College Station,Texas,153,1.57,
Richardson,Texas,154,1.76,
Orem,Utah,155,1.27,
Stamford,Connecticut,156,1.2,
Bend,Oregon,157,1.17,
Surprise,Arizona,158,1.58,
Newark,New Jersey,159,0.68,
McAllen,Texas,160,1.93,
Bellevue,Washington,161,3.4,
Lee's Summit,Missouri,162,1.06,
McKinney,Texas,163,1.5,
Pearland,Texas,164,1.29,
Provo,Utah,165,1.14,
Virginia Beach,Virginia,166,4.1,
Gilbert,Arizona,167,2.3,
League City,Texas,168,1.03,
Frisco,Texas,169,1.32,
Concord,North Carolina,170,0.75,
Jersey City,New Jersey,171,1.28,
Cary,North Carolina,172,1.31,
Sugar Land,Texas,173,0.99,
Joliet,Illinois,174,0.13,
Carmel,Indiana,175,0.44,
